2023-04-28 08:24:31.555 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-28 08:24:31.569 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-28 08:27:35.167 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-28 08:27:35.182 [main] INFO  top.kjwang.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 95480 (/Users/wangkaijie/Desktop/api-boot/api-server/target/classes started by wangkaijie in /Users/wangkaijie/Desktop/api-boot)
2023-04-28 08:27:35.183 [main] INFO  top.kjwang.ServerApplication - The following 1 profile is active: "dev"
2023-04-28 08:27:35.537 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-28 08:27:35.538 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-28 08:27:35.553 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-04-28 08:27:35.845 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-28 08:27:35.849 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-28 08:27:35.850 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-28 08:27:35.850 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-28 08:27:35.889 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-28 08:27:35.890 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 691 ms
2023-04-28 08:27:36.747 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@65b5b5ed, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6595ffce, org.springframework.security.web.context.SecurityContextHolderFilter@40aad17d, org.springframework.security.web.header.HeaderWriterFilter@70700b8a, org.springframework.security.web.authentication.logout.LogoutFilter@6a116354, top.kjwang.security.filter.AuthenticationTokenFilter@7cd1ec54, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5bc14211, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4b99648a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@795eddda, org.springframework.security.web.session.SessionManagementFilter@523ade68, org.springframework.security.web.access.ExceptionTranslationFilter@3a12f3e7, org.springframework.security.web.access.intercept.AuthorizationFilter@3b576ee3]
2023-04-28 08:27:36.944 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-28 08:27:36.954 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-28 08:27:36.959 [main] INFO  top.kjwang.ServerApplication - Started ServerApplication in 1.929 seconds (process running for 2.24)
2023-04-28 08:30:30.028 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-28 08:30:30.059 [main] INFO  top.kjwang.ServerApplication - Starting ServerApplication using Java 17.0.6 with PID 95599 (/Users/wangkaijie/Desktop/api-boot/api-server/target/classes started by wangkaijie in /Users/wangkaijie/Desktop/api-boot)
2023-04-28 08:30:30.059 [main] INFO  top.kjwang.ServerApplication - The following 1 profile is active: "dev"
2023-04-28 08:30:30.428 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-28 08:30:30.429 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-28 08:30:30.444 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2023-04-28 08:30:30.733 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-28 08:30:30.737 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-28 08:30:30.737 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-28 08:30:30.737 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-28 08:30:30.770 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-28 08:30:30.770 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 692 ms
2023-04-28 08:30:31.609 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5790cbcb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@32c6d164, org.springframework.security.web.context.SecurityContextHolderFilter@1a77eb6, org.springframework.security.web.header.HeaderWriterFilter@66716959, org.springframework.security.web.authentication.logout.LogoutFilter@11120583, top.kjwang.security.filter.AuthenticationTokenFilter@2bc16fe2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5f9ebd5a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@175bf9c9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@645c9f0f, org.springframework.security.web.session.SessionManagementFilter@c6bf8d9, org.springframework.security.web.access.ExceptionTranslationFilter@37fffef3, org.springframework.security.web.access.intercept.AuthorizationFilter@3acc3ee]
2023-04-28 08:30:31.795 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-28 08:30:31.805 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-28 08:30:31.810 [main] INFO  top.kjwang.ServerApplication - Started ServerApplication in 1.947 seconds (process running for 2.214)
